Year,Location,Catch_total_com,Catch_local_com,cpue_sc,cpue_SE,Wgt_caught_rec,Effort_rec,cpue_rec,Effort_com,cpue_com,Effort_com_local,cpue_com_local,notes
2007,FinArch,219.579,,,0.117112038,261,,,,0.937378691,,,
2008,FinArch,174.716,,,0.124876482,291,,,,0.858556685,,,
2009,FinArch,158.318,,,0.124973047,284,,,,0.736439742,,,
2010,FinArch,148.743,,,0.126955749,223,,,,0.758434918,,,
2011,FinArch,238.805,,,0.110943296,337,,,,1.280845561,,,
2012,FinArch,193.015,,,0.122805457,254,,,,0.86247368,,,
2013,FinArch,136.751,,,0.132386333,172,,,,0.782178212,,,
2014,FinArch,156.651,,,0.126144504,189,,,,0.87113725,,,
2015,FinArch,135.507,,,0.135731665,143,,,,0.805779368,,,
2016,FinArch,126.512,,,0.134168204,115,,,,0.942386194,,,
2017,FinArch,113.732,,,0.137308374,170,,,,0.795034734,,,
2018,FinArch,120.241,,,0.133789977,250,,,,0.830881,,,
2019,FinArch,101.304,,,0.140941915,181,,,,0.83220605,,,
2020,FinArch,107.682,,,0.144520021,181,,,,0.935550433,,,
2000,Oulujarvi,12.8,,,,,,,,0.197007235,,,Catch_total_com - com + recreat cathces
2001,Oulujarvi,7.071,,,0.367044276,,,,,0.198356561,,,
2002,Oulujarvi,10.585,,,0.334569769,,,,,0.282511878,,,
2003,Oulujarvi,22.139,,,0.301716135,,,,,0.511432546,,,
2004,Oulujarvi,36.497,,,0.289192356,,,,,0.799365086,,,
2005,Oulujarvi,76.881,,,0.281224224,,,,,1.135073061,,,
2006,Oulujarvi,89.642,,,0.275233128,,,,,1.376944896,,,
2007,Oulujarvi,77.008,,,0.277735558,,,,,1.335321988,,,
2008,Oulujarvi,74.201,,,0.277748165,,,,,1.174352588,,,
2009,Oulujarvi,68.026,,,0.279775395,,,,,1.129724662,,,
2010,Oulujarvi,105.857,,,0.275131243,,,,,1.490091721,,,
2011,Oulujarvi,129.034,,,0.275995306,,,,,1.193561993,,,
2012,Oulujarvi,189.785,,,0.272428928,,,,,1.652250823,,,
2013,Oulujarvi,151.556,,,0.274703075,,,,,1.347808966,,,
2014,Oulujarvi,101.696,,,0.276403092,,,,,0.980932848,,,
2015,Oulujarvi,85.614,,,0.278360501,,,,,1.134896086,,,
2016,Oulujarvi,98.766,,,0.28126123,,,,,0.65559015,,,
2017,Oulujarvi,95.463,,,0.27997277,,,,,1.005824603,,,
2018,Oulujarvi,72.307,,,0.283045321,,,,,0.947016026,,,
2019,Oulujarvi,84.965,,,0.277548772,,,,,1.075937143,,,
2020,Oulujarvi,87.995,,,0.277044357,,,,,1.37599914,,,
1994,Kvädöfjärden,42.773,,,,,,,,,,,
1995,Kvädöfjärden,40.7598,,,,,,,,,,,
1996,Kvädöfjärden,29.5838,,,,,,,,,,,
1997,Kvädöfjärden,35.1395,,,,,,,,,,,
1998,Kvädöfjärden,23.7778,,,,,,,,,,,
1999,Kvädöfjärden,26.9537,,,,,,,,,,,
2000,Kvädöfjärden,26.715,,,,,,,,,,,
2001,Kvädöfjärden,16.24,,,,,,,,,,,
2002,Kvädöfjärden,14.6978,,0.164718997,,,,,,,,,
2003,Kvädöfjärden,22.1312,,0.3984018,0.614354301,,,,,,,,
2004,Kvädöfjärden,11.7404,,1.027698841,0.520319937,,,,,,,,
2005,Kvädöfjärden,11.95,,0.407367368,0.590194218,,,,,,,,
2006,Kvädöfjärden,9.0845,,0.353586141,0.579930193,,,,,,,,
2007,Kvädöfjärden,8.367,,0.275146042,0.621533218,,,,,,,,
2008,Kvädöfjärden,8.199,,0.599664128,0.563055658,,,,,,,,
2009,Kvädöfjärden,7.213,,0.242474401,0.655805288,,,,,,,,
2010,Kvädöfjärden,4.9365,,0.612308186,0.569812183,,,,,,,,
2011,Kvädöfjärden,5.1438,,0.714439729,0.531993083,,,,,,,,
2012,Kvädöfjärden,5.1417,,0.76606637,0.5864363,,,,,,,,
2013,Kvädöfjärden,5.1395,,1.53704704,0.508020416,,,,,,,,
2014,Kvädöfjärden,6.7048,,2.516998261,0.497353577,,,,,,,,
2015,Kvädöfjärden,4.988,,1.305076731,0.538030983,,,,,,,,
2016,Kvädöfjärden,3.6265,,1.717418524,0.581435928,,,,,,,,
2017,Kvädöfjärden,2.499,,1.936677156,0.51979416,,,,,,,,
2018,Kvädöfjärden,2.496,,2.164695055,0.494747964,,,,,,,,
2019,Kvädöfjärden,1.998,,1.584110386,0.502703026,,,,,,,,
2020,Kvädöfjärden,1.227,,0.676104845,0.575494265,,,,,,,,
